__run_id,__done,model_version,task_type,input_size,GPU0_MEMORY_USED,GPU0_USAGE,USED_MEMORY,USED_SWAP,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),GPU0_ENERGY (mJ),CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_30,CPU_USAGE_31,rouge_scores,bleu_scores,inference_time
run_37_repetition_5,DONE,qwen:7b,generation,long,9005.771428571428,72.02857142857142,4816198626.742857,0.0,0,237.88946533203125,190.13800048828125,0,400082,0.9470145906720843,0.16326531001499722,1.3970315388270786,0.32653062002999445,0.7959183829171317,0.32653062002999445,0.7281142915998187,0.16326531001499722,16.88650223868234,0.16326531001499722,75.23818514687675,0.16326531001499722,3.3889919553484233,0.2993197304861886,0.7190876279558455,0.31746033259800505,1.0408163615635464,1.2018140792846679,0.9967465264456613,1.1282209941319057,0.7176870891026088,0.708883558000837,0.4469787870134626,0.4761905125209263,0.7368505205426897,0.4761905125209263,0.7777778080531529,0.6190476553780692,0.7482993262154716,0.4535147530691964,0.4421768733433315,0.7619047982352121,"{'rouge1': 0.4722222222222222, 'rouge2': 0.1395348837209302, 'rougeL': 0.20427553444180524, 'rougeLsum': 0.2755344418052256}","{'bleu': 0.21738507155818873, 'precisions': [0.7372881355932204, 0.3276595744680851, 0.15384615384615385, 0.060085836909871244], 'brevity_penalty': 1.0, 'length_ratio': 1.18, 'translation_length': 236, 'reference_length': 200}",5.537163257598877
run_74_repetition_18,DONE,gemma,question_answering,short,9485.891891891892,81.29729729729729,4758540066.594595,0.0,0,270.27862548828125,219.2142333984375,0,444309,0.8057305361773517,0.27094763678473394,1.0245207709235113,0.14224750931198532,0.7990208058743864,0.14224750931198532,1.3655760997050517,0.13860014322641734,10.581400020702466,0.25486013051625844,85.28364782075624,0.14224750931198532,6.635633752152726,0.14224750931198532,0.5347828993926177,0.5509355648143871,0.8797331114073057,0.7832080222464897,0.25486013051625844,0.4054054311803869,0.5509355648143871,0.2772002864528347,0.4059004139255833,0.9266409487337679,0.38356025798900706,0.4059004139255833,0.5321924235369708,0.5412179070550043,0.5369566066845043,0.5341055586531356,0.4267425021609744,0.27094763678473394,"{'rouge1': 0.5975103734439835, 'rouge2': 0.301255230125523, 'rougeL': 0.24066390041493774, 'rougeLsum': 0.5726141078838174}","{'bleu': 0.0, 'precisions': [0.3333333333333333, 0.1094224924012158, 0.012195121951219513, 0.0], 'brevity_penalty': 1.0, 'length_ratio': 1.9186046511627908, 'translation_length': 330, 'reference_length': 172}",6.401729106903076
run_23_repetition_18,DONE,mistral:v0.1,summarization,long,5846.166666666667,64.25,4701679445.333333,0.0,0,150.2967529296584,118.373291015625,0,213674,2.513581077257792,0.4273504416147868,1.6905298233032227,0.4385964870452881,1.6290727059046428,0.4385964870452881,0.8501818378766378,0.6578946908315023,11.51417867342631,6.658288737138112,3.7890587647755942,61.81652041276296,3.109335780143738,0.4385964870452881,2.1052096287409463,1.7498464385668437,1.3116405407587688,1.5543386340141296,1.1108746627966564,0.6578946908315023,0.6370091835657755,0.8662280241648356,0.7530298233032227,0.6418918967247009,1.1761873662471771,0.9687431355317434,0.8354218800862631,0.3268512388070424,0.8354218800862631,0.762061357498169,1.006778319676717,0.7530298233032227,"{'rouge1': 0.45685279187817257, 'rouge2': 0.13333333333333333, 'rougeL': 0.3147208121827411, 'rougeLsum': 0.3147208121827411}","{'bleu': 0.15046249630597516, 'precisions': [0.7079646017699115, 0.29464285714285715, 0.09009009009009009, 0.02727272727272727], 'brevity_penalty': 1.0, 'length_ratio': 1.036697247706422, 'translation_length': 113, 'reference_length': 109}",3.35809326171875
run_57_repetition_0,DONE,phi,question_answering,long,5055.677419354839,69.12903225806451,4751901332.645162,0.0,0,202.37176513671875,160.25006103515625,0,268547,0.9422898138723066,0.3395585706157069,0.7062552129068682,0.16977928530785344,1.5351184414279075,0.16977928530785344,1.0288358580681585,0.3308519547985446,10.728188360891034,4.579485324121291,36.14914143470026,39.20181969673403,1.639371395111084,0.1654259773992723,0.3291026469199888,0.3308519547985446,0.6536343328414425,1.2373517097965363,0.5708204777010025,0.4095301551203574,0.49224314381999357,0.5584132594446982,0.48820835544217017,0.5769230934881395,0.49017531641067996,0.4652605672036448,0.506092240733485,0.49421010478850336,1.2089462434091875,0.4931684001799553,0.3308519547985446,0.16977928530785344,"{'rouge1': 0.4748700173310225, 'rouge2': 0.13913043478260873, 'rougeL': 0.21490467937608318, 'rougeLsum': 0.28076256499133445}","{'bleu': 0.1360284068528977, 'precisions': [0.5421052631578948, 0.21635883905013192, 0.08465608465608465, 0.034482758620689655], 'brevity_penalty': 1.0, 'length_ratio': 1.2925170068027212, 'translation_length': 380, 'reference_length': 294}",4.709009170532227
run_49_repetition_6,DONE,qwen2.5,generation,long,5745.764705882353,85.29411764705883,4801939978.039216,0.0,0,383.13543701171875,311.9798583984375,0,572807,0.4416678933536305,0.09803921568627451,0.9512076190873688,0.09803921568627451,0.24509803921568626,0.28694403405283014,1.085738649555281,0.09803921568627451,51.54307349522909,8.524629387201047,41.982860677382526,0.09803921568627451,0.9501864208894617,0.19129601646872127,0.798420831268909,0.09803921568627451,0.4645191454419903,0.475962713652966,0.48085900848987057,0.3384687199312098,0.3282465794507195,0.3339797562243892,0.6351236268585804,0.2777777840109432,0.19140989640179804,0.10055304508583218,0.43161164078057973,0.34194166987550023,0.28694403405283014,0.2463549539154651,0.7050891670526243,0.28694403405283014,"{'rouge1': 0.48165869218500795, 'rouge2': 0.1216, 'rougeL': 0.22966507177033493, 'rougeLsum': 0.2647527910685805}","{'bleu': 0.20903187432896553, 'precisions': [0.7019498607242339, 0.30726256983240224, 0.12605042016806722, 0.0702247191011236], 'brevity_penalty': 1.0, 'length_ratio': 1.795, 'translation_length': 359, 'reference_length': 200}",9.347754716873169
run_38_repetition_11,DONE,qwen:7b,question_answering,short,9256.0,85.16981132075472,4831226281.056603,0.0,0,398.38043212896446,324.18914794921875,0,606077,0.40119165744421614,0.3414195978416587,0.27852650408474905,0.2740341402449698,0.9883198648128869,0.09433962264150944,0.26207754746922907,0.09433962264150944,12.034187703762415,0.18407729886612803,45.434529736356914,42.07192509129362,3.3481394569828824,0.09675859055429134,1.0833506089336467,0.09433962264150944,0.675708680782678,0.4558104748995799,0.4582210216882094,0.5480682804899396,0.4580018565339862,0.3773585085598928,0.2665699113090083,0.18867924528301888,0.5660377538429117,0.09675859055429134,0.3728661447201135,0.3338171311144559,0.18867924528301888,0.34950583835817733,0.4627134035218437,0.4558104748995799,"{'rouge1': 0.49595687331536387, 'rouge2': 0.24390243902439024, 'rougeL': 0.45822102425876005, 'rougeLsum': 0.47978436657681944}","{'bleu': 0.11160404837349909, 'precisions': [0.4115942028985507, 0.22674418604651161, 0.11370262390670553, 0.014619883040935672], 'brevity_penalty': 1.0, 'length_ratio': 2.005813953488372, 'translation_length': 345, 'reference_length': 172}",9.738122463226318
run_69_repetition_2,DONE,phi3.5,question_answering,long,6289.921568627451,85.7843137254902,4767196983.215686,0.0,0,390.3908691406541,319.50592041015625,0,580666,0.5892181396484375,1.3576636688382018,0.806954496047076,0.10319917342242073,0.19656985413794423,0.20110609017166436,0.5010073979695638,0.20639834684484146,90.72331017138912,0.10319917342242073,7.389529985540054,0.20110609017166436,4.619637302323883,0.10319917342242073,1.7698311712227615,0.20110609017166436,0.7689567266726026,0.3434963787303251,0.3861003857032925,0.34878863540350225,0.4884004966885436,0.6253510596705418,0.3901247791215485,0.28105837691063973,0.15102317753960104,0.20110609017166436,0.29411766575831993,0.29164983711990655,0.152218781265558,0.20110609017166436,0.20110609017166436,0.25138261271458046,"{'rouge1': 0.48071216617210677, 'rouge2': 0.1313868613138686, 'rougeL': 0.19796215429403202, 'rougeLsum': 0.2789317507418398}","{'bleu': 0.10706411265436319, 'precisions': [0.48221343873517786, 0.1504950495049505, 0.05357142857142857, 0.033797216699801194], 'brevity_penalty': 1.0, 'length_ratio': 1.7210884353741496, 'translation_length': 506, 'reference_length': 294}",9.273755550384521
run_59_repetition_12,DONE,phi,summarization,long,5225.882352941177,62.294117647058826,4803656764.235294,0.0,0,102.30999755850644,80.53814697265625,0,138627,3.1173419391407684,0.5742296892053941,0.8683473362642176,0.5882352941176471,2.6360017552095303,0.29411764705882354,1.6111829421099495,0.29411764705882354,11.475011096281165,0.5882352941176471,68.35176159353817,0.8540000915527344,4.012605050030877,0.5882352941176471,2.2865667904124543,0.30165913525749655,1.4350617913638843,1.717160561505486,1.960784407222972,0.8683473362642176,1.19155356463264,0.8823529972749597,0.8683473362642176,1.7647058823529411,1.4042138492359835,0.5817711774040671,1.470588291392607,0.5882352941176471,0.8834303126615637,0.59577678231632,0.8333333520328298,1.105930160073673,"{'rouge1': 0.3474576271186441, 'rouge2': 0.1181434599156118, 'rougeL': 0.2510460251046025, 'rougeLsum': 0.2510460251046025}","{'bleu': 0.08624884462729705, 'precisions': [0.4779874213836478, 0.17721518987341772, 0.050955414012738856, 0.01282051282051282], 'brevity_penalty': 1.0, 'length_ratio': 1.4587155963302751, 'translation_length': 159, 'reference_length': 109}",2.4656498432159424
run_30_repetition_6,DONE,mistral:v0.3,generation,short,6070.0,68.11764705882354,4718877033.411765,0.0,0,107.00372314456035,85.35369873046875,0,174306,2.123472438139074,0.635930061340332,1.2480126549215877,0.635930061340332,1.9314482632805319,0.3267974012038287,0.5718954591190114,0.6191950405345243,11.976723727057962,0.3267974012038287,74.82467185749726,0.28011204214657054,4.410749828114229,0.3267974012038287,1.4659142213709213,0.9803922316607308,1.5141190921559053,1.532507672029383,1.2480126549215877,0.630252108854406,0.635930061340332,0.6209150482626522,0.9150326953214758,1.1069831567652084,0.9287925047032973,1.224165355457979,0.9287925047032973,0.9538950078627643,0.635930061340332,0.3267974012038287,1.860095416798311,0.6069094433503992,"{'rouge1': 0.3282051282051282, 'rouge2': 0.12435233160621761, 'rougeL': 0.26666666666666666, 'rougeLsum': 0.26666666666666666}","{'bleu': 0.14675172614919688, 'precisions': [0.6759259259259259, 0.205607476635514, 0.07547169811320754, 0.047619047619047616], 'brevity_penalty': 0.9816518956846597, 'length_ratio': 0.9818181818181818, 'translation_length': 108, 'reference_length': 110}",2.5523788928985596
run_51_repetition_17,DONE,qwen2.5,question_answering,long,5745.727272727273,83.3409090909091,4876221998.545455,0.0,0,328.47601318359375,267.5179443359375,0,557783,0.688938249241222,0.6704838059165261,0.4523118192499334,0.0,0.7215007435191761,0.23923444747924805,0.3474595546722412,0.12626263228329745,28.804243434559215,60.81768458539789,8.876219532706521,0.6552339033647017,3.5705512436953457,0.5297911600633101,0.7828261635520242,0.3685503439469771,0.34812410311265424,0.5904118147763339,0.7142857421528209,0.5457525578412142,0.8068620291623202,0.4767754511399703,0.4724880131808194,0.34271284666928375,0.4673645713112571,0.34039722789417615,0.245700250972401,0.7186732292175293,0.23923444747924805,0.4675617218017578,0.8143939971923828,0.23923444747924805,"{'rouge1': 0.5801217038539555, 'rouge2': 0.219959266802444, 'rougeL': 0.283975659229209, 'rougeLsum': 0.34888438133874244}","{'bleu': 0.22315921998881938, 'precisions': [0.7040816326530612, 0.29692832764505117, 0.14383561643835616, 0.08247422680412371], 'brevity_penalty': 1.0, 'length_ratio': 1.0, 'translation_length': 294, 'reference_length': 294}",7.913502931594849
